Nodes,Pesticide_Max_Node,Refill_time,Max_num_drones,Seed,Total_time,Max_trips,Cost,Gap,Time
4.0,12.0,60.0,4.0,2.0,239.5523101312057,1.0,481.31132008847703,0.0,0.10860037803649902
4.0,12.0,60.0,4.0,3.0,319.0128865648509,1.0,634.1455066197472,0.0,0.19819164276123047
4.0,12.0,60.0,4.0,4.0,291.0143804842446,1.0,590.7393437105648,0.0,0.12061762809753418
4.0,12.0,90.0,2.0,0.0,659.7871017279674,3.0,1281.1702670334507,0.0,1.419342279434204
4.0,12.0,90.0,2.0,1.0,514.0942081833936,2.0,1245.3816212789493,0.0,0.27248334884643555
4.0,12.0,90.0,2.0,2.0,424.3463224391393,2.0,1034.3001926898417,0.0,0.15566158294677734
4.0,12.0,90.0,2.0,3.0,562.764103657357,2.0,1426.8587686546507,0.0,0.3803684711456299
4.0,12.0,90.0,2.0,4.0,693.17143025923,2.0,1236.6358669714932,0.0,0.16115736961364746
4.0,12.0,90.0,3.0,0.0,466.29848551804764,2.0,777.7533419259921,0.0,0.5878946781158447
4.0,12.0,90.0,3.0,1.0,269.7818115710387,1.0,769.0496287170199,0.0,0.08157944679260254
4.0,12.0,90.0,3.0,2.0,381.9006013811797,2.0,713.6090622980295,0.0,0.47045373916625977
4.0,12.0,90.0,3.0,3.0,430.0674406377704,2.0,861.4328391645084,0.0,0.7329065799713135
4.0,12.0,90.0,3.0,4.0,479.36368283496853,2.0,826.8397429144331,0.0,0.32581210136413574
4.0,12.0,90.0,4.0,0.0,324.4921046838545,2.0,669.193923413516,0.0,1.0783891677856445
4.0,12.0,90.0,4.0,1.0,269.78181157103865,1.0,707.034666244412,0.0,0.12361764907836914
4.0,12.0,90.0,4.0,2.0,239.5523101312057,1.0,481.31132008847703,0.0,0.10121917724609375
4.0,12.0,90.0,4.0,3.0,319.0128865648509,1.0,634.1455066197472,0.0,0.20619797706604004
4.0,12.0,90.0,4.0,4.0,291.0143804842446,1.0,590.7393437105648,0.0,0.11360955238342285
4.0,14.0,30.0,2.0,0.0,565.8379210748856,3.0,1115.385928028979,0.0,1.5034494400024414
4.0,14.0,30.0,2.0,1.0,474.2957283158147,2.0,1186.6101451665,0.0,0.22321462631225586
4.0,14.0,30.0,2.0,2.0,461.7078465849171,2.0,1009.815127370402,0.0,0.16816401481628418
4.0,14.0,30.0,2.0,3.0,541.2729420617285,2.0,1343.716486314161,0.0,0.3291151523590088
4.0,14.0,30.0,2.0,4.0,656.3935645649775,2.0,1320.666967969839,0.0,0.212202787399292
4.0,14.0,30.0,3.0,0.0,438.2250376387889,2.0,861.8114707717765,0.0,1.1110384464263916
4.0,14.0,30.0,3.0,1.0,277.2076375385104,1.0,794.0160754121614,0.0,0.05455470085144043
4.0,14.0,30.0,3.0,2.0,367.5846671171248,2.0,728.9472298565645,0.0,0.9563865661621094
4.0,14.0,30.0,3.0,3.0,390.0156227095586,2.0,825.5038757949317,0.0,0.9539172649383545
4.0,14.0,30.0,3.0,4.0,438.55814925853156,2.0,801.6182891561107,0.0,0.4824693202972412
4.0,14.0,30.0,4.0,0.0,391.95668229356136,2.0,655.2790292400787,0.0,2.3364832401275635
4.0,14.0,30.0,4.0,1.0,277.2076375385104,1.0,726.3228457269231,0.0,0.1316370964050293
4.0,14.0,30.0,4.0,2.0,252.69289824148203,1.0,520.5376160507959,0.0,0.12862348556518555
4.0,14.0,30.0,4.0,3.0,319.8727646636677,1.0,682.977111757207,0.0,0.12712335586547852
4.0,14.0,30.0,4.0,4.0,415.5485202182636,1.0,725.1010021168971,0.0,0.10259771347045898
4.0,14.0,60.0,2.0,0.0,625.8379210748855,3.0,1233.7403591901686,0.0,1.5369925498962402
4.0,14.0,60.0,2.0,1.0,504.2957283158146,2.0,1240.0195331330656,0.0,0.1898331642150879
4.0,14.0,60.0,2.0,2.0,491.70784658491715,2.0,1097.9503253596185,0.0,0.22341227531433105
4.0,14.0,60.0,2.0,3.0,571.2729420617284,2.0,1429.8439730355813,0.0,0.31297850608825684
4.0,14.0,60.0,2.0,4.0,686.3935645649776,2.0,1402.734861224397,0.0,0.3115851879119873
4.0,14.0,60.0,3.0,0.0,468.2250376387888,2.0,938.4434472439125,0.0,1.2803499698638916
4.0,14.0,60.0,3.0,1.0,277.2076375385104,1.0,794.0160754121614,0.0,0.06305670738220215
4.0,14.0,60.0,3.0,2.0,397.58466711712475,2.0,770.2285645058229,0.0,0.6818721294403076
4.0,14.0,60.0,3.0,3.0,420.0156227095586,2.0,868.0320998848281,0.0,0.7037868499755859
4.0,14.0,60.0,3.0,4.0,468.5581492585316,2.0,834.5994018161363,0.0,0.32958245277404785
4.0,14.0,60.0,4.0,0.0,322.5175143573136,2.0,694.098195904325,0.0,2.414654016494751
4.0,14.0,60.0,4.0,1.0,277.2076375385104,1.0,726.3228457269231,0.0,0.12761974334716797
4.0,14.0,60.0,4.0,2.0,252.69289824148203,1.0,520.5376160507959,0.0,0.10460042953491211
4.0,14.0,60.0,4.0,3.0,319.8727646636677,1.0,682.977111757207,0.0,0.1267688274383545
4.0,14.0,60.0,4.0,4.0,415.5485202182636,1.0,725.1010021168971,0.0,0.11056947708129883
4.0,14.0,90.0,2.0,0.0,685.8379210748855,3.0,1352.0947903513581,0.0,1.6510376930236816
4.0,14.0,90.0,2.0,1.0,534.2957283158005,2.0,1293.4289210996067,0.0,0.20887470245361328
4.0,14.0,90.0,2.0,2.0,521.7078465849172,2.0,1186.0855233488346,0.0,0.2118546962738037
4.0,14.0,90.0,2.0,3.0,601.2729420617285,2.0,1515.9714597570012,0.0,0.310805082321167
4.0,14.0,90.0,2.0,4.0,716.3935645649776,2.0,1484.8027544789554,0.0,0.2851996421813965
